Dataset,Classifier,Feature Type,Accuracy,Balanced Accuracy,Precision,Recall,F1-score
Mozilla,KNeighborsClassifier,TF-IDF,0.553,0.505610743,0.527777788,0.553,0.532073057
Mozilla,KNeighborsClassifier,DistilBERT,0.595,0.558641046,0.581785603,0.595,0.584313054
Mozilla,MultinomialNB,TF-IDF,0.591,0.508370125,0.540020969,0.591,0.509754757
Mozilla,MultinomialNB,DistilBERT,0.633,0.550095324,0.641838175,0.633,0.555068079
Mozilla,MLPClassifier,TF-IDF,0.595,0.53646565,0.567724338,0.595,0.560175933
Mozilla,MLPClassifier,DistilBERT,0.638,0.566843936,0.632128505,0.638,0.584774429
Mozilla,RandomForestClassifier,TF-IDF,0.609,0.542837314,0.583504889,0.609,0.56284625
Mozilla,RandomForestClassifier,DistilBERT,0.627,0.54860693,0.618950265,0.627,0.558706191
Mozilla,SVC,TF-IDF,0.606,0.518178473,0.573839472,0.606,0.512494173
Mozilla,SVC,DistilBERT,0.609,0.551533547,0.586383593,0.609,0.57597368
Mozilla,KNeighborsClassifier,TF-IDF,0.591,0.543589872,0.570117948,0.591,0.57000987
Mozilla,KNeighborsClassifier,DistilBERT,0.583,0.544793966,0.56794809,0.583,0.570911088
Mozilla,MultinomialNB,TF-IDF,0.611,0.53101378,0.585588773,0.611,0.537801172
Mozilla,MultinomialNB,DistilBERT,0.607,0.525093652,0.576762167,0.607,0.528933055
Mozilla,MLPClassifier,TF-IDF,0.585,0.528622316,0.556589504,0.585,0.553001115
Mozilla,MLPClassifier,DistilBERT,0.626,0.539082882,0.633875664,0.626,0.537240662
Mozilla,RandomForestClassifier,TF-IDF,0.594,0.5343334,0.565698173,0.594,0.557519646
Mozilla,RandomForestClassifier,DistilBERT,0.623,0.543121613,0.611927076,0.623,0.551087267
Mozilla,SVC,TF-IDF,0.613,0.532234598,0.590193775,0.613,0.538171827
Mozilla,SVC,DistilBERT,0.631,0.569310656,0.615794962,0.631,0.592705844
Mozilla,KNeighborsClassifier,TF-IDF,0.575,0.525996722,0.550782882,0.575,0.552198417
Mozilla,KNeighborsClassifier,DistilBERT,0.568,0.537159676,0.558461997,0.568,0.561735907
Mozilla,MultinomialNB,TF-IDF,0.614,0.532627601,0.592725796,0.614,0.537837871
Mozilla,MultinomialNB,DistilBERT,0.626,0.545170246,0.620055548,0.626,0.552205605
Mozilla,MLPClassifier,TF-IDF,0.593,0.536114456,0.566231491,0.593,0.560438567
Mozilla,MLPClassifier,DistilBERT,0.629,0.548088501,0.627281314,0.629,0.555303215
Mozilla,RandomForestClassifier,TF-IDF,0.604,0.546090039,0.579715736,0.604,0.570251361
Mozilla,RandomForestClassifier,DistilBERT,0.616,0.542979464,0.594227243,0.616,0.557872278
Mozilla,SVC,TF-IDF,0.617,0.536415479,0.599086353,0.617,0.542945245
Mozilla,SVC,DistilBERT,0.623,0.570079938,0.605432658,0.623,0.596047687
Mozilla,KNeighborsClassifier,TF-IDF,0.539,0.528806275,0.548891264,0.539,0.542684807
Mozilla,KNeighborsClassifier,DistilBERT,0.577,0.548958124,0.569688132,0.577,0.57239615
Mozilla,MultinomialNB,TF-IDF,0.6,0.517559703,0.560533333,0.6,0.520006863
Mozilla,MultinomialNB,DistilBERT,0.599,0.521949629,0.562144,0.599,0.531447212
Mozilla,MLPClassifier,TF-IDF,0.582,0.533530671,0.559154262,0.582,0.559819541
Mozilla,MLPClassifier,DistilBERT,0.58,0.56492073,0.583347678,0.58,0.581490196
Mozilla,RandomForestClassifier,TF-IDF,0.597,0.538556091,0.570366641,0.597,0.562347903
Mozilla,RandomForestClassifier,DistilBERT,0.608,0.533748077,0.579925381,0.608,0.546924423
Mozilla,SVC,TF-IDF,0.608,0.525051843,0.579073009,0.608,0.527479847
