Classifier,Feature Type,Accuracy,Balanced Accuracy,Precision,Recall,F1-score,Dataset
KNeighborsClassifier,TF-IDF,0.553,0.505610743,0.527777788,0.553,0.532073057,Mozilla
KNeighborsClassifier,DistilBERT,0.595,0.558641046,0.581785603,0.595,0.584313054,Mozilla
KNeighborsClassifier,GCN,0.559,0.513621312,0.536339135,0.559,0.540250566,Mozilla
KNeighborsClassifier,RNN,0.515,0.472849354,0.49340256,0.515,0.500070794,Mozilla
MultinomialNB,TF-IDF,0.591,0.508370125,0.540020969,0.591,0.509754757,Mozilla
MultinomialNB,DistilBERT,0.633,0.550095324,0.641838175,0.633,0.555068079,Mozilla
MultinomialNB,GCN,0.604,0.5,0.364816,0.604,0.454882793,Mozilla
MultinomialNB,RNN,0.604,0.5,0.364816,0.604,0.454882793,Mozilla
MLPClassifier,TF-IDF,0.596,0.542511205,0.572081944,0.596,0.567943274,Mozilla
MLPClassifier,DistilBERT,0.645,0.604379892,0.633564173,0.645,0.630643809,Mozilla
MLPClassifier,GCN,0.504,0.465482641,0.486615511,0.504,0.492755244,Mozilla
MLPClassifier,RNN,0.604,0.5,0.364816,0.604,0.454882793,Mozilla
RandomForestClassifier,TF-IDF,0.617,0.553807947,0.595805538,0.617,0.575928863,Mozilla
RandomForestClassifier,DistilBERT,0.624,0.546123487,0.612029334,0.624,0.556563844,Mozilla
RandomForestClassifier,GCN,0.605,0.505175932,0.574761522,0.605,0.472560678,Mozilla
RandomForestClassifier,RNN,0.531,0.50218242,0.523764036,0.531,0.526760837,Mozilla
SVC,TF-IDF,0.606,0.518178473,0.573839472,0.606,0.512494173,Mozilla
SVC,DistilBERT,0.609,0.551533547,0.586383593,0.609,0.57597368,Mozilla
SVC,GCN,0.604,0.5,0.364816,0.604,0.454882793,Mozilla
SVC,RNN,0.604,0.5,0.364816,0.604,0.454882793,Mozilla
KNeighborsClassifier,TF-IDF,0.591,0.543589872,0.570117948,0.591,0.57000987,Mozilla
KNeighborsClassifier,DistilBERT,0.583,0.544793966,0.56794809,0.583,0.570911088,Mozilla
KNeighborsClassifier,GCN,0.55,0.505301358,0.52730742,0.55,0.532032086,Mozilla
KNeighborsClassifier,RNN,0.548,0.507993846,0.529908798,0.548,0.534695903,Mozilla
MultinomialNB,TF-IDF,0.611,0.53101378,0.585588773,0.611,0.537801172,Mozilla
MultinomialNB,DistilBERT,0.607,0.525093652,0.576762167,0.607,0.528933055,Mozilla
MultinomialNB,GCN,0.604,0.5,0.364816,0.604,0.454882793,Mozilla
MultinomialNB,RNN,0.604,0.5,0.364816,0.604,0.454882793,Mozilla
MLPClassifier,TF-IDF,0.577,0.527652351,0.552767757,0.577,0.553804493,Mozilla
MLPClassifier,DistilBERT,0.625,0.567387451,0.607325837,0.625,0.592179863,Mozilla
MLPClassifier,GCN,0.54,0.513111245,0.534375344,0.54,0.536781037,Mozilla
MLPClassifier,RNN,0.604,0.5,0.364816,0.604,0.454882793,Mozilla
RandomForestClassifier,TF-IDF,0.592,0.532677771,0.563314297,0.592,0.555976091,Mozilla
RandomForestClassifier,DistilBERT,0.616,0.537761723,0.59564113,0.616,0.547129032,Mozilla
RandomForestClassifier,GCN,0.59,0.491454278,0.46127572,0.59,0.459943492,Mozilla
RandomForestClassifier,RNN,0.542,0.523463108,0.543992503,0.542,0.542943842,Mozilla
SVC,TF-IDF,0.613,0.532234598,0.590193775,0.613,0.538171827,Mozilla
SVC,DistilBERT,0.631,0.569310656,0.615794962,0.631,0.592705844,Mozilla
SVC,GCN,0.604,0.5,0.364816,0.604,0.454882793,Mozilla
SVC,RNN,0.604,0.5,0.364816,0.604,0.454882793,Mozilla
KNeighborsClassifier,TF-IDF,0.575,0.525996722,0.550782882,0.575,0.552198417,Mozilla
KNeighborsClassifier,DistilBERT,0.568,0.537159676,0.558461997,0.568,0.561735907,Mozilla
KNeighborsClassifier,GCN,0.552,0.511305104,0.533402987,0.552,0.538005854,Mozilla
KNeighborsClassifier,RNN,0.538,0.501020135,0.522666887,0.538,0.527526054,Mozilla
MultinomialNB,TF-IDF,0.614,0.532627601,0.592725796,0.614,0.537837871,Mozilla
MultinomialNB,DistilBERT,0.626,0.545170246,0.620055548,0.626,0.552205605,Mozilla
MultinomialNB,GCN,0.604,0.5,0.364816,0.604,0.454882793,Mozilla
MultinomialNB,RNN,0.604,0.5,0.364816,0.604,0.454882793,Mozilla
MLPClassifier,TF-IDF,0.596,0.536423841,0.568381209,0.596,0.559699352,Mozilla
MLPClassifier,DistilBERT,0.619,0.583726336,0.60751793,0.619,0.608946354,Mozilla
MLPClassifier,GCN,0.527,0.494523045,0.516208696,0.527,0.520302894,Mozilla
MLPClassifier,RNN,0.604,0.5,0.364816,0.604,0.454882793,Mozilla
RandomForestClassifier,TF-IDF,0.604,0.548264098,0.58074036,0.604,0.573181515,Mozilla
RandomForestClassifier,DistilBERT,0.644,0.567462707,0.652034744,0.644,0.581027761,Mozilla
RandomForestClassifier,GCN,0.596,0.498160412,0.509468041,0.596,0.469421479,Mozilla
RandomForestClassifier,RNN,0.52,0.496554954,0.518323563,0.52,0.519129968,Mozilla
SVC,TF-IDF,0.617,0.536415479,0.599086353,0.617,0.542945245,Mozilla
SVC,DistilBERT,0.623,0.570079938,0.605432658,0.623,0.596047687,Mozilla
SVC,GCN,0.604,0.5,0.364816,0.604,0.454882793,Mozilla
SVC,RNN,0.604,0.5,0.364816,0.604,0.454882793,Mozilla
KNeighborsClassifier,TF-IDF,0.539,0.528806275,0.548891264,0.539,0.542684807,Mozilla
KNeighborsClassifier,DistilBERT,0.577,0.548958124,0.569688132,0.577,0.57239615,Mozilla
KNeighborsClassifier,GCN,0.543,0.50298515,0.524718587,0.543,0.52975148,Mozilla
KNeighborsClassifier,RNN,0.534,0.49336076,0.514757756,0.534,0.520283829,Mozilla
MultinomialNB,TF-IDF,0.6,0.517559703,0.560533333,0.6,0.520006863,Mozilla
MultinomialNB,DistilBERT,0.599,0.521949629,0.562144,0.599,0.531447212,Mozilla
MultinomialNB,GCN,0.604,0.5,0.364816,0.604,0.454882793,Mozilla
MultinomialNB,RNN,0.604,0.5,0.364816,0.604,0.454882793,Mozilla
MLPClassifier,TF-IDF,0.583,0.529140745,0.556128605,0.583,0.554321562,Mozilla
MLPClassifier,DistilBERT,0.614,0.563934042,0.59536443,0.614,0.590224657,Mozilla
MLPClassifier,GCN,0.561,0.535278279,0.555896718,0.561,0.558051727,Mozilla
MLPClassifier,RNN,0.604,0.5,0.364816,0.604,0.454882793,Mozilla
RandomForestClassifier,TF-IDF,0.602,0.541390728,0.575785,0.602,0.564337674,Mozilla
RandomForestClassifier,DistilBERT,0.615,0.539107967,0.592909056,0.615,0.551048725,Mozilla
RandomForestClassifier,GCN,0.608,0.51157268,0.58957155,0.608,0.488187706,Mozilla
RandomForestClassifier,RNN,0.524,0.497257342,0.518973495,0.524,0.521198864,Mozilla
SVC,TF-IDF,0.608,0.525051843,0.579073009,0.608,0.527479847,Mozilla
SVC,DistilBERT,0.614,0.560890361,0.594258441,0.614,0.586668697,Mozilla
SVC,GCN,0.604,0.5,0.364816,0.604,0.454882793,Mozilla
SVC,RNN,0.604,0.5,0.364816,0.604,0.454882793,Mozilla
KNeighborsClassifier,TF-IDF,0.569,0.52604875,0.549616561,0.569,0.553174378,Mozilla
KNeighborsClassifier,DistilBERT,0.581,0.550026153,0.571649469,0.581,0.574725562,Mozilla
KNeighborsClassifier,GCN,0.561,0.51943718,0.542370265,0.561,0.546566694,Mozilla
KNeighborsClassifier,RNN,0.536,0.493942881,0.515745227,0.536,0.521390593,Mozilla
MultinomialNB,TF-IDF,0.623,0.541678,0.611158139,0.623,0.549617783,Mozilla
MultinomialNB,DistilBERT,0.588,0.513631133,0.54464525,0.588,0.527016818,Mozilla
MultinomialNB,GCN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
MultinomialNB,RNN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
MLPClassifier,TF-IDF,0.591,0.538518674,0.566793378,0.591,0.564837088,Mozilla
MLPClassifier,DistilBERT,0.587,0.546636677,0.570805513,0.587,0.573421514,Mozilla
MLPClassifier,GCN,0.523,0.492865362,0.515074096,0.523,0.51835746,Mozilla
MLPClassifier,RNN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
RandomForestClassifier,TF-IDF,0.602,0.544094571,0.577011702,0.602,0.569048473,Mozilla
RandomForestClassifier,DistilBERT,0.614,0.537315619,0.589880943,0.614,0.549907818,Mozilla
RandomForestClassifier,GCN,0.61,0.509844126,0.613456394,0.61,0.480729167,Mozilla
RandomForestClassifier,RNN,0.524,0.50731248,0.528984181,0.524,0.52620101,Mozilla
SVC,TF-IDF,0.612,0.525996443,0.588005143,0.612,0.526274123,Mozilla
SVC,DistilBERT,0.589,0.538623287,0.5659162,0.589,0.565299883,Mozilla
SVC,GCN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
SVC,RNN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
KNeighborsClassifier,TF-IDF,0.573,0.531551418,0.555133024,0.573,0.558558781,Mozilla
KNeighborsClassifier,DistilBERT,0.57,0.531708338,0.554605678,0.57,0.558375987,Mozilla
KNeighborsClassifier,GCN,0.553,0.508871221,0.531468087,0.553,0.536144405,Mozilla
KNeighborsClassifier,RNN,0.532,0.488440213,0.509910807,0.532,0.515949552,Mozilla
MultinomialNB,TF-IDF,0.613,0.53297416,0.58836953,0.613,0.541669289,Mozilla
MultinomialNB,DistilBERT,0.6,0.520033476,0.561483665,0.6,0.527779971,Mozilla
MultinomialNB,GCN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
MultinomialNB,RNN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
MLPClassifier,TF-IDF,0.574,0.531938487,0.55569179,0.574,0.558980963,Mozilla
MLPClassifier,DistilBERT,0.623,0.559692436,0.603842633,0.623,0.582955476,Mozilla
MLPClassifier,GCN,0.503,0.46710953,0.48924645,0.503,0.494496814,Mozilla
MLPClassifier,RNN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
RandomForestClassifier,TF-IDF,0.599,0.53678209,0.570707813,0.599,0.559805757,Mozilla
RandomForestClassifier,DistilBERT,0.624,0.545140705,0.610904446,0.624,0.556113173,Mozilla
RandomForestClassifier,GCN,0.604,0.505764201,0.55887413,0.604,0.480605974,Mozilla
RandomForestClassifier,RNN,0.524,0.503797468,0.525668292,0.524,0.524801938,Mozilla
SVC,TF-IDF,0.604,0.51718799,0.566565411,0.604,0.515350205,Mozilla
SVC,DistilBERT,0.61,0.548948635,0.586157692,0.61,0.572840065,Mozilla
SVC,GCN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
SVC,RNN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
KNeighborsClassifier,TF-IDF,0.564,0.512250235,0.535993383,0.564,0.538590211,Mozilla
KNeighborsClassifier,DistilBERT,0.606,0.571566063,0.594617474,0.606,0.596993247,Mozilla
KNeighborsClassifier,GCN,0.552,0.508484151,0.5310144,0.552,0.535769888,Mozilla
KNeighborsClassifier,RNN,0.542,0.498022806,0.519960886,0.542,0.525407609,Mozilla
MultinomialNB,TF-IDF,0.614,0.533800607,0.590532636,0.614,0.542363975,Mozilla
MultinomialNB,DistilBERT,0.618,0.537985145,0.599010833,0.618,0.547106317,Mozilla
MultinomialNB,GCN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
MultinomialNB,RNN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
MLPClassifier,TF-IDF,0.578,0.532608013,0.557315488,0.578,0.559697899,Mozilla
MLPClassifier,DistilBERT,0.616,0.593011821,0.612139579,0.616,0.613718532,Mozilla
MLPClassifier,GCN,0.542,0.515597866,0.537157813,0.542,0.539278874,Mozilla
MLPClassifier,RNN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
RandomForestClassifier,TF-IDF,0.595,0.532597552,0.565172226,0.595,0.555414792,Mozilla
RandomForestClassifier,DistilBERT,0.632,0.555706664,0.624594286,0.632,0.570029106,Mozilla
RandomForestClassifier,GCN,0.591,0.490626635,0.445539617,0.591,0.457915506,Mozilla
RandomForestClassifier,RNN,0.541,0.516968302,0.538375396,0.541,0.539599725,Mozilla
SVC,TF-IDF,0.605,0.515378178,0.568306452,0.605,0.508778327,Mozilla
SVC,DistilBERT,0.635,0.577957945,0.620080093,0.635,0.60395464,Mozilla
SVC,GCN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
SVC,RNN,0.605,0.5,0.366025,0.605,0.456105919,Mozilla
