Dataset,Classifier,Feature Type,Accuracy,Balanced Accuracy,Precision,Recall,F1-score
Mozilla,KNeighborsClassifier,TF-IDF,0.553,0.505610743,0.527777788,0.553,0.532073057
Mozilla,KNeighborsClassifier,BERT,0.586,0.548147033,0.571347647,0.586,0.574180556
Mozilla,MultinomialNB,TF-IDF,0.591,0.508370125,0.540020969,0.591,0.509754757
Mozilla,MultinomialNB,BERT,0.634,0.551792762,0.642524823,0.634,0.557812245
Mozilla,MLPClassifier,TF-IDF,0.603,0.54134892,0.576641758,0.603,0.563806739
Mozilla,MLPClassifier,BERT,0.605,0.58692053,0.604828539,0.605,0.604913674
Mozilla,RandomForestClassifier,TF-IDF,0.611,0.547101813,0.587047455,0.611,0.568602655
Mozilla,RandomForestClassifier,BERT,0.621,0.541031173,0.607549769,0.621,0.548705767
Mozilla,SVC,TF-IDF,0.606,0.518178473,0.573839472,0.606,0.512494173
Mozilla,SVC,BERT,0.602,0.551826209,0.581131949,0.602,0.577986845
Mozilla,KNeighborsClassifier,TF-IDF,0.591,0.543589872,0.570117948,0.591,0.57000987
Mozilla,KNeighborsClassifier,BERT,0.596,0.559468861,0.582713775,0.596,0.585167025
Mozilla,MultinomialNB,TF-IDF,0.611,0.53101378,0.585588773,0.611,0.537801172
Mozilla,MultinomialNB,BERT,0.611,0.528839722,0.586064373,0.611,0.532683056
Mozilla,MLPClassifier,TF-IDF,0.6,0.548866145,0.578246162,0.6,0.574852941
Mozilla,MLPClassifier,BERT,0.62,0.589771891,0.61130809,0.62,0.613416766
Mozilla,RandomForestClassifier,TF-IDF,0.591,0.53271958,0.562743955,0.591,0.556453287
Mozilla,RandomForestClassifier,BERT,0.602,0.520954579,0.565852518,0.602,0.52556454
Mozilla,SVC,TF-IDF,0.613,0.532234598,0.590193775,0.613,0.538171827
Mozilla,SVC,BERT,0.589,0.532803198,0.561695771,0.589,0.557309538
Mozilla,KNeighborsClassifier,TF-IDF,0.575,0.525996722,0.550782882,0.575,0.552198417
Mozilla,KNeighborsClassifier,BERT,0.602,0.574001605,0.594579341,0.602,0.597029063
Mozilla,MultinomialNB,TF-IDF,0.614,0.532627601,0.592725796,0.614,0.537837871
Mozilla,MultinomialNB,BERT,0.613,0.530930163,0.590734739,0.613,0.535085714
Mozilla,MLPClassifier,TF-IDF,0.576,0.535085959,0.558486179,0.576,0.561572113
Mozilla,MLPClassifier,BERT,0.613,0.543974513,0.589131447,0.613,0.562106948
Mozilla,RandomForestClassifier,TF-IDF,0.611,0.553623988,0.589010219,0.611,0.578142613
Mozilla,RandomForestClassifier,BERT,0.621,0.544509666,0.604845899,0.621,0.556252274
Mozilla,SVC,TF-IDF,0.617,0.536415479,0.599086353,0.617,0.542945245
Mozilla,SVC,BERT,0.623,0.574862867,0.606641988,0.623,0.601418359
Mozilla,KNeighborsClassifier,TF-IDF,0.539,0.528806275,0.548891264,0.539,0.542684807
Mozilla,KNeighborsClassifier,BERT,0.593,0.562637969,0.583892114,0.593,0.58667527
Mozilla,MultinomialNB,TF-IDF,0.6,0.517559703,0.560533333,0.6,0.520006863
Mozilla,MultinomialNB,BERT,0.598,0.522426249,0.561281106,0.598,0.533548913
Mozilla,MLPClassifier,TF-IDF,0.57,0.520118403,0.544332157,0.57,0.546163733
Mozilla,MLPClassifier,BERT,0.589,0.552804535,0.57566048,0.589,0.578502106
Mozilla,RandomForestClassifier,TF-IDF,0.593,0.534375209,0.565082034,0.593,0.558003962
Mozilla,RandomForestClassifier,BERT,0.615,0.53997759,0.592734125,0.615,0.552833791
Mozilla,SVC,TF-IDF,0.608,0.525051843,0.579073009,0.608,0.527479847
Mozilla,SVC,BERT,0.624,0.578734364,0.608696482,0.624,0.60534764
